,regions,tech,vintage,cost_invest,cost_invest_units,capacity,capacity units
118,CA,C_LT_8FTLEDST_LFL_N,2040,6.498694644459855,M$/giga lumens,7.680000000000001e-06,giga lumens
119,CA,C_LT_8FTLEDST_LFL_N,2045,6.498694644459855,M$/giga lumens,7.680000000000001e-06,giga lumens
120,CA,C_LT_8FTLEDST_LFL_N,2050,6.498694644459855,M$/giga lumens,7.680000000000001e-06,giga lumens
121,CA,C_LT_8FTLUMHE_LFL_N,2020,61.06852169345625,M$/giga lumens,8.000000000000001e-06,giga lumens
122,CA,C_LT_8FTLUMHE_LFL_N,2025,61.06852169345625,M$/giga lumens,8.000000000000001e-06,giga lumens
123,CA,C_LT_8FTLUMHE_LFL_N,2030,36.54763425567069,M$/giga lumens,8.000000000000001e-06,giga lumens
124,CA,C_LT_8FTLUMHE_LFL_N,2035,36.54763425567069,M$/giga lumens,8.000000000000001e-06,giga lumens
125,CA,C_LT_8FTLUMHE_LFL_N,2040,23.51567063071148,M$/giga lumens,8.000000000000001e-06,giga lumens
126,CA,C_LT_8FTLUMHE_LFL_N,2045,23.51567063071148,M$/giga lumens,8.000000000000001e-06,giga lumens
127,CA,C_LT_8FTLUMHE_LFL_N,2050,23.51567063071148,M$/giga lumens,8.000000000000001e-06,giga lumens
128,CA,C_LT_8FTLUMST_LFL_N,2020,61.06852169345625,M$/giga lumens,8.000000000000001e-06,giga lumens
129,CA,C_LT_8FTLUMST_LFL_N,2025,61.06852169345625,M$/giga lumens,8.000000000000001e-06,giga lumens
130,CA,C_LT_8FTLUMST_LFL_N,2030,36.54763425567069,M$/giga lumens,8.000000000000001e-06,giga lumens
131,CA,C_LT_8FTLUMST_LFL_N,2035,36.54763425567069,M$/giga lumens,8.000000000000001e-06,giga lumens
132,CA,C_LT_8FTLUMST_LFL_N,2040,23.51567063071148,M$/giga lumens,8.000000000000001e-06,giga lumens
133,CA,C_LT_8FTLUMST_LFL_N,2045,23.51567063071148,M$/giga lumens,8.000000000000001e-06,giga lumens
134,CA,C_LT_8FTLUMST_LFL_N,2050,23.51567063071148,M$/giga lumens,8.000000000000001e-06,giga lumens
135,CA,C_LT_8FTT8HE_LFL_N,2020,12.19597958102905,M$/giga lumens,9.831000000000001e-06,giga lumens
136,CA,C_LT_8FTT8HE_LFL_N,2025,12.19597958102905,M$/giga lumens,9.831000000000001e-06,giga lumens
137,CA,C_LT_8FTT8HE_LFL_N,2030,11.91775619174891,M$/giga lumens,9.831000000000001e-06,giga lumens
138,CA,C_LT_8FTT8HE_LFL_N,2035,11.91775619174891,M$/giga lumens,9.831000000000001e-06,giga lumens
139,CA,C_LT_8FTT8HE_LFL_N,2040,11.654121294790576,M$/giga lumens,9.831000000000001e-06,giga lumens
140,CA,C_LT_8FTT8HE_LFL_N,2045,11.654121294790576,M$/giga lumens,9.831000000000001e-06,giga lumens
141,CA,C_LT_8FTT8HE_LFL_N,2050,11.654121294790576,M$/giga lumens,9.831000000000001e-06,giga lumens
142,CA,C_LT_8FTT8HOHE_LFL_N,2020,8.535490606600353,M$/giga lumens,1.482e-05,giga lumens
143,CA,C_LT_8FTT8HOHE_LFL_N,2025,8.535490606600353,M$/giga lumens,1.482e-05,giga lumens
144,CA,C_LT_8FTT8HOHE_LFL_N,2030,8.348854514619296,M$/giga lumens,1.482e-05,giga lumens
145,CA,C_LT_8FTT8HOHE_LFL_N,2035,8.348854514619296,M$/giga lumens,1.482e-05,giga lumens
146,CA,C_LT_8FTT8HOHE_LFL_N,2040,8.171204604844732,M$/giga lumens,1.482e-05,giga lumens
147,CA,C_LT_8FTT8HOHE_LFL_N,2045,8.171204604844732,M$/giga lumens,1.482e-05,giga lumens
148,CA,C_LT_8FTT8HOHE_LFL_N,2050,8.171204604844732,M$/giga lumens,1.482e-05,giga lumens
149,CA,C_LT_8FTT8HOST_LFL_N,2020,8.791759735756248,M$/giga lumens,1.4000000000000001e-05,giga lumens
150,CA,C_LT_8FTT8HOST_LFL_N,2025,8.791759735756248,M$/giga lumens,1.4000000000000001e-05,giga lumens
