,Tech_Code_Pandas,regions,Subsector,input_comm,Tech Description,tech,vintage,output_comm,efficiency,eff_notes
70,C_LT_8FTT8HO_LFL,CA,Commercial Lighting,ELC_COM,STANDARD COMMERCIAL 8-FT T8 F96 HIGH-OUTPUT IN A 2-LAMP SYSTEM,C_LT_8FTT8HOST_LFL_N,2030.0,CLTT8,2.663622526636225,Giga Lm-Y/PJ
71,C_LT_8FTT8HO_LFL,CA,Commercial Lighting,ELC_COM,HIGH EFFICIENCY COMMERCIAL 8-FT T8 F96 HIGH-OUTPUT IN A 2-LAMP SYSTEM,C_LT_8FTT8HOHE_LFL_N,2035.0,CLTT8,2.6953323186199896,Giga Lm-Y/PJ
72,C_LT_8FTT8HO_LFL,CA,Commercial Lighting,ELC_COM,STANDARD COMMERCIAL 8-FT T8 F96 HIGH-OUTPUT IN A 2-LAMP SYSTEM,C_LT_8FTT8HOST_LFL_N,2035.0,CLTT8,2.663622526636225,Giga Lm-Y/PJ
73,C_LT_8FTT8HO_LFL,CA,Commercial Lighting,ELC_COM,HIGH EFFICIENCY COMMERCIAL 8-FT T8 F96 HIGH-OUTPUT IN A 2-LAMP SYSTEM,C_LT_8FTT8HOHE_LFL_N,2040.0,CLTT8,2.7587519025875187,Giga Lm-Y/PJ
74,C_LT_8FTT8HO_LFL,CA,Commercial Lighting,ELC_COM,STANDARD COMMERCIAL 8-FT T8 F96 HIGH-OUTPUT IN A 2-LAMP SYSTEM,C_LT_8FTT8HOST_LFL_N,2040.0,CLTT8,2.727042110603754,Giga Lm-Y/PJ
75,C_LT_8FTT8HO_LFL,CA,Commercial Lighting,ELC_COM,HIGH EFFICIENCY COMMERCIAL 8-FT T8 F96 HIGH-OUTPUT IN A 2-LAMP SYSTEM,C_LT_8FTT8HOHE_LFL_N,2045.0,CLTT8,2.7587519025875187,Giga Lm-Y/PJ
76,C_LT_8FTT8HO_LFL,CA,Commercial Lighting,ELC_COM,STANDARD COMMERCIAL 8-FT T8 F96 HIGH-OUTPUT IN A 2-LAMP SYSTEM,C_LT_8FTT8HOST_LFL_N,2045.0,CLTT8,2.727042110603754,Giga Lm-Y/PJ
77,C_LT_8FTT8HO_LFL,CA,Commercial Lighting,ELC_COM,HIGH EFFICIENCY COMMERCIAL 8-FT T8 F96 HIGH-OUTPUT IN A 2-LAMP SYSTEM,C_LT_8FTT8HOHE_LFL_N,2050.0,CLTT8,2.7587519025875187,Giga Lm-Y/PJ
78,C_LT_8FTT8HO_LFL,CA,Commercial Lighting,ELC_COM,STANDARD COMMERCIAL 8-FT T8 F96 HIGH-OUTPUT IN A 2-LAMP SYSTEM,C_LT_8FTT8HOST_LFL_N,2050.0,CLTT8,2.727042110603754,Giga Lm-Y/PJ
79,C_LT_8FTT8_LFL,CA,Commercial Lighting,ELC_COM,REFERENCE COMMERCIAL 8-FT T8 F59 TYPICAL EFFICIENCY IN A 2-LAMP SYSTEM,C_LT_8FTT8_LFL_R,2019.0,CLTT8,2.7904616945712837,Giga Lm-Y/PJ
