,periods,regions,tech,vintage,cost_fixed,cost_fixed_units,capacity,capacity_units,lifetime
254,2020,CA,C_LT_8FTLUMHE_LFL_N,2020,2.6110026364637724,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
255,2025,CA,C_LT_8FTLUMHE_LFL_N,2020,2.6110026364637724,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
256,2030,CA,C_LT_8FTLUMHE_LFL_N,2020,2.6110026364637724,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
257,2035,CA,C_LT_8FTLUMHE_LFL_N,2020,2.6110026364637724,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
258,2040,CA,C_LT_8FTLUMHE_LFL_N,2020,2.6110026364637724,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
259,2025,CA,C_LT_8FTLUMHE_LFL_N,2025,2.6110026364637724,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
260,2030,CA,C_LT_8FTLUMHE_LFL_N,2025,2.6110026364637724,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
261,2035,CA,C_LT_8FTLUMHE_LFL_N,2025,2.6110026364637724,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
262,2040,CA,C_LT_8FTLUMHE_LFL_N,2025,2.6110026364637724,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
263,2045,CA,C_LT_8FTLUMHE_LFL_N,2025,2.6110026364637724,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
264,2030,CA,C_LT_8FTLUMHE_LFL_N,2030,1.5161486618798954,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
265,2035,CA,C_LT_8FTLUMHE_LFL_N,2030,1.5161486618798954,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
266,2040,CA,C_LT_8FTLUMHE_LFL_N,2030,1.5161486618798954,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
267,2045,CA,C_LT_8FTLUMHE_LFL_N,2030,1.5161486618798954,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
268,2050,CA,C_LT_8FTLUMHE_LFL_N,2030,1.5161486618798954,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
269,2035,CA,C_LT_8FTLUMHE_LFL_N,2035,1.5161486618798954,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
270,2040,CA,C_LT_8FTLUMHE_LFL_N,2035,1.5161486618798954,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
271,2045,CA,C_LT_8FTLUMHE_LFL_N,2035,1.5161486618798954,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
272,2050,CA,C_LT_8FTLUMHE_LFL_N,2035,1.5161486618798954,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
273,2040,CA,C_LT_8FTLUMHE_LFL_N,2040,0.9757645948922974,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
274,2045,CA,C_LT_8FTLUMHE_LFL_N,2040,0.9757645948922974,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
275,2050,CA,C_LT_8FTLUMHE_LFL_N,2040,0.9757645948922974,M$/giga lumens,8.000000000000001e-06,giga lumens,24.0
